date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:08:31	549/549	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Oct%202021%2013:08:32%20GMT	https://www.beautystatcosmetics.com/en/firefox/	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/firefox/index.html	(from http://d16hdrba6dusey.cloudfront.net/sitecommon/js/commons/ctrwow_analytics.v3.pro.min.js)
06:08:31	548/548	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Oct%202021%2013:08:33%20GMT	https://www.beautystatcosmetics.com/en/chrome/	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/chrome/index.html	(from http://d16hdrba6dusey.cloudfront.net/sitecommon/js/commons/ctrwow_analytics.v3.pro.min.js)
06:08:31	545/545	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Oct%202021%2013:08:33%20GMT	https://www.beautystatcosmetics.com/en/opr/	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/opr/index.html	(from http://d16hdrba6dusey.cloudfront.net/sitecommon/js/commons/ctrwow_analytics.v3.pro.min.js)
06:08:31	547/547	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Oct%202021%2013:08:33%20GMT	https://www.beautystatcosmetics.com/en/opera/	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/opera/index.html	(from http://d16hdrba6dusey.cloudfront.net/sitecommon/js/commons/ctrwow_analytics.v3.pro.min.js)
06:08:31	2710/2710	---M--	200	added ('OK')	application/octet-stream	etag:%220f471c9a3f1b51725de4d181267fcd90%22	https://d16hdrba6dusey.cloudfront.net/sitecommon/images/installment_icon.png	C:/Users/wicke/Desktop/cloned-site/site-clone/d16hdrba6dusey.cloudfront.net/sitecommon/images/installment_icon.png	(from https://www.beautystatcosmetics.com/en/assets/css/pages/order.min.css?v=1631595623838)
06:08:31	548/548	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Oct%202021%2013:08:33%20GMT	https://www.beautystatcosmetics.com/en/safari/	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/safari/index.html	(from http://d16hdrba6dusey.cloudfront.net/sitecommon/js/commons/ctrwow_analytics.v3.pro.min.js)
06:08:31	41587/41587	---MCZ	200	added ('OK')	text/css	etag:W/%2298e3fe6a60e1496909f8dc20ea325639%22	https://www.beautystatcosmetics.com/en/assets/css/pages/index.min.css?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/css/pages/index.mind03a.css	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:31	549/549	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Oct%202021%2013:08:33%20GMT	https://www.beautystatcosmetics.com/en/trident/	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/trident/index.html	(from http://d16hdrba6dusey.cloudfront.net/sitecommon/js/commons/ctrwow_analytics.v3.pro.min.js)
06:08:31	547/547	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Oct%202021%2013:08:33%20GMT	https://www.beautystatcosmetics.com/en/path=/	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/path=/index.html	(from http://d16hdrba6dusey.cloudfront.net/sitecommon/js/commons/ctrwow_analytics.v3.pro.min.js)
06:08:31	154140/154140	---M--	200	added ('OK')	image/png	etag:%2277df8c3746f34d6d5eea9129aa62e34d%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img1.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img1.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:32	159971/159971	---M--	200	added ('OK')	image/png	etag:%22f8b1c41bc2bc1059fb1d14cbadb27c7b%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img2.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img2.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:32	171837/171837	---M--	200	added ('OK')	image/png	etag:%229c4935094f3259c477b28f43e7e2d77a%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img3.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img3.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:32	127438/127438	---M--	200	added ('OK')	image/png	etag:%22eff07f7fd0297667af3de51aeaebc92a%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img4.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img4.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:32	25516/25516	---M--	200	added ('OK')	image/jpeg	etag:%22bb6462681768da62dab88cebbb209c9a%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_before1.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_before1.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:32	25463/25463	---M--	200	added ('OK')	image/jpeg	etag:%22a1966e41c6d1608c7a0302221f648214%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_after1.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_after1.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:33	29747/29747	---M--	200	added ('OK')	image/jpeg	etag:%22c0a86fa0bae070b2da8c4e2114bc5dc1%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_before2.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_before2.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:33	32366/32366	---M--	200	added ('OK')	image/jpeg	etag:%2292b3a4c14c791c14c6f9945a197078b1%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_after2.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_after2.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:33	29546/29546	---M--	200	added ('OK')	image/jpeg	etag:%22f83200cc817d648f0156b463118cdcc4%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_before3.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_before3.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:33	31605/31605	---M--	200	added ('OK')	image/jpeg	etag:%220fe1213885ee15be1f23eb9d493a2edd%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_after3.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section7_img_after3.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:34	68798/68798	---M--	200	added ('OK')	image/png	etag:%22d5ca804e71209a8a69ae1a771e834253%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial1.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial1.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:34	6798/6798	---M--	200	added ('OK')	image/png	etag:%22ec40f68de121adc9b7c6e63ab79862de%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/star5.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/star5.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:34	75403/75403	---M--	200	added ('OK')	image/png	etag:%22308a872ad216ee3852e79beaf5157613%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial2.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial2.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:34	86016/86016	---M--	200	added ('OK')	image/png	etag:%22fd0f900b4bccd48afd342977450484f6%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial3.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial3.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:34	93533/93533	---M--	200	added ('OK')	image/png	etag:%22479e5ad2fa0f09d39f3d3d03cbb96545%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial4.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial4.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:35	70093/70093	---M--	200	added ('OK')	image/png	etag:%229cdc6d5cabfc841e61d31e8156d33fe4%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial5.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial5.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:35	6887/6887	---M--	200	added ('OK')	image/png	etag:%22b6c7de0d1014c05d109cdad875c7c268%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/star4.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/star4.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:35	5682/5682	---M--	200	added ('OK')	image/jpeg	etag:%22989ba4ba5d050d1dd93d21abc55533a9%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial6.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial6.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:35	7823/7823	---M--	200	added ('OK')	image/jpeg	etag:%22958b189005f957fd6d33f654681f5586%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial7.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial7.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:36	4776/4776	---M--	200	added ('OK')	image/jpeg	etag:%22512b0f8e91103d91d2b9c3dc702f7fa5%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial8.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial8.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:36	71552/71552	---M--	200	added ('OK')	image/png	etag:%2259b7381f78fa296734fda196bd94b3e2%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial9.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial9.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:36	86625/86625	---M--	200	added ('OK')	image/png	etag:%226bc217171c6a5295ef5664a70241c4fb%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial10.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial10.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:36	490597/490597	---M--	200	added ('OK')	image/png	etag:%222644f460a99be27bba0b416846670ce2%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial11.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial11.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:36	66957/66957	---M--	200	added ('OK')	image/png	etag:%22dfe2892ca42ace73e520d072127d7cb8%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial12.png	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial12.png	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:37	6087/6087	---M--	200	added ('OK')	image/jpeg	etag:%22d05db2272155109ae999abbd224f4587%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial13.jpg	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial13.jpg	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:37	141029/141029	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cfb86ef1d45fc38c785f26916633ea8d%22	https://www.beautystatcosmetics.com/en/assets/js/pages/index.min.js?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/js/pages/index.mind03a.js	(from https://www.beautystatcosmetics.com/en/index.html)
06:08:37	12699/12699	---MCZ	200	added ('OK')	text/css	etag:W/%2261c5aae1f04377956d479038da13e231%22	https://www.beautystatcosmetics.com/en/assets/css/pages/terms-autogenqlzebbg4u.min.css?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/css/pages/terms-autogenqlzebbg4u.mind03a.css	(from https://www.beautystatcosmetics.com/en/terms.html)
06:08:38	2091/2091	---MCZ	200	added ('OK')	application/javascript	etag:W/%22770ad50a58fd5b1b80ab8b4414cd94bd%22	https://www.beautystatcosmetics.com/en/assets/js/pages/terms-autogenepk6e8p6g.min.js?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/js/pages/terms-autogenepk6e8p6g.mind03a.js	(from https://www.beautystatcosmetics.com/en/terms.html)
06:08:38	12705/12705	---MCZ	200	added ('OK')	text/css	etag:W/%22af1524a9d0430e6c65ea1e0734e3acc6%22	https://www.beautystatcosmetics.com/en/assets/css/pages/policy.min.css?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/css/pages/policy.mind03a.css	(from https://www.beautystatcosmetics.com/en/policy.html)
06:08:38	2091/2091	---MCZ	200	added ('OK')	application/javascript	etag:W/%22770ad50a58fd5b1b80ab8b4414cd94bd%22	https://www.beautystatcosmetics.com/en/assets/js/pages/policy.min.js?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/js/pages/policy.mind03a.js	(from https://www.beautystatcosmetics.com/en/policy.html)
06:08:39	12898/12898	---MCZ	200	added ('OK')	text/css	etag:W/%22e673012364b7514083b2c8450207fbf0%22	https://www.beautystatcosmetics.com/en/assets/css/pages/contact-us.min.css?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/css/pages/contact-us.mind03a.css	(from https://www.beautystatcosmetics.com/en/contact-us.html)
06:08:39	2091/2091	---MCZ	200	added ('OK')	application/javascript	etag:W/%22770ad50a58fd5b1b80ab8b4414cd94bd%22	https://www.beautystatcosmetics.com/en/assets/js/pages/contact-us.min.js?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/js/pages/contact-us.mind03a.js	(from https://www.beautystatcosmetics.com/en/contact-us.html)
06:08:39	14210/14210	---MCZ	200	added ('OK')	text/css	etag:W/%22c99c7096a68a7cffcdbd0ef3dba6e2ce%22	https://www.beautystatcosmetics.com/en/assets/css/pages/affiliate.min.css?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/css/pages/affiliate.mind03a.css	(from https://www.beautystatcosmetics.com/en/affiliate.html)
06:08:40	3866/3866	---MCZ	200	added ('OK')	application/javascript	etag:W/%22498463e34212caff4d0d2edd5646ad86%22	https://www.beautystatcosmetics.com/en/assets/js/pages/affiliate.min.js?v=1631595623838	C:/Users/wicke/Desktop/cloned-site/site-clone/www.beautystatcosmetics.com/en/assets/js/pages/affiliate.mind03a.js	(from https://www.beautystatcosmetics.com/en/affiliate.html)
